,date,open,close,high,low,volume,code
0,2005-01-04,2.07,2.008,2.07,1.903,204927.0,600028
1,2005-01-05,2.008,1.979,2.008,1.965,205665.95,600028
2,2005-01-06,1.979,1.951,1.993,1.917,158663.61,600028
3,2005-01-07,1.955,1.993,2.036,1.951,91314.65,600028
4,2005-01-10,1.984,1.97,1.989,1.946,73510.45,600028
5,2005-01-11,1.974,1.979,2.008,1.951,81051.85,600028
6,2005-01-12,1.979,1.974,1.979,1.946,107279.29,600028
7,2005-01-13,1.97,1.96,1.974,1.946,51429.05,600028
8,2005-01-14,1.96,1.951,2.008,1.941,110521.87,600028
9,2005-01-17,1.941,1.889,1.951,1.874,139791.0,600028
10,2005-01-18,1.879,1.855,1.903,1.836,227097.66,600028
11,2005-01-19,1.855,1.855,1.874,1.846,134289.25,600028
12,2005-01-20,1.855,1.851,1.889,1.836,201937.77,600028
13,2005-01-21,1.851,1.917,1.941,1.841,414434.99,600028
14,2005-01-24,1.955,1.951,1.974,1.898,464824.16,600028
15,2005-01-25,1.941,1.974,1.979,1.927,194583.18,600028
16,2005-01-26,1.965,1.96,1.984,1.955,68400.53,600028
17,2005-01-27,1.96,1.96,1.979,1.927,137151.79,600028
18,2005-01-28,1.946,1.936,1.96,1.932,87945.7,600028
19,2005-01-31,1.946,1.903,1.955,1.898,127049.8,600028
20,2005-02-01,1.903,1.908,1.932,1.893,88280.79,600028
21,2005-02-02,1.913,2.022,2.05,1.913,413500.32,600028
22,2005-02-03,2.022,2.06,2.093,1.989,557779.86,600028
23,2005-02-04,2.036,2.098,2.136,2.031,492804.54,600028
24,2005-02-16,2.117,2.117,2.179,2.098,342420.14,600028
25,2005-02-17,2.127,2.093,2.127,2.074,130501.1,600028
26,2005-02-18,2.093,2.084,2.146,2.074,262824.66,600028
27,2005-02-21,2.079,2.141,2.15,2.074,244449.82,600028
28,2005-02-22,2.141,2.15,2.174,2.127,265813.22,600028
29,2005-02-23,2.15,2.146,2.184,2.131,268296.82,600028
30,2005-02-24,2.136,2.127,2.146,2.098,179747.09,600028
31,2005-02-25,2.127,2.117,2.165,2.117,190236.02,600028
32,2005-02-28,2.117,2.136,2.16,2.108,291344.27,600028
33,2005-03-01,2.136,2.136,2.15,2.127,99531.76,600028
34,2005-03-02,2.136,2.127,2.184,2.112,274494.81,600028
35,2005-03-03,2.122,2.112,2.122,2.074,210483.4,600028
36,2005-03-04,2.108,2.093,2.131,2.089,100656.33,600028
37,2005-03-07,2.093,2.112,2.136,2.093,112349.3,600028
38,2005-03-08,2.131,2.146,2.179,2.112,312591.27,600028
39,2005-03-09,2.15,2.146,2.184,2.136,276027.87,600028
40,2005-03-10,2.146,2.093,2.146,2.084,188629.05,600028
41,2005-03-11,2.089,2.074,2.108,2.06,187759.28,600028
42,2005-03-14,2.074,2.093,2.103,2.036,219669.6,600028
43,2005-03-15,2.089,2.008,2.089,2.003,218780.52,600028
44,2005-03-16,1.998,1.984,2.012,1.97,139914.47,600028
45,2005-03-17,1.998,1.979,1.998,1.97,109987.21,600028
46,2005-03-18,1.979,1.979,2.012,1.974,203659.25,600028
47,2005-03-21,1.979,1.998,2.008,1.979,158309.47,600028
48,2005-03-22,2.003,1.989,2.012,1.974,213551.75,600028
49,2005-03-23,1.998,1.979,2.012,1.974,139545.09,600028
50,2005-03-24,1.979,1.97,1.989,1.922,203453.68,600028
51,2005-03-25,1.96,1.965,1.984,1.936,74683.99,600028
52,2005-03-28,1.974,1.951,1.974,1.927,94935.69,600028
53,2005-03-29,1.974,1.946,1.984,1.946,108643.14,600028
54,2005-03-30,1.946,1.955,1.979,1.941,160768.52,600028
55,2005-03-31,1.955,1.989,1.993,1.946,132404.32,600028
56,2005-04-01,1.989,2.07,2.108,1.951,335272.8,600028
57,2005-04-04,2.046,2.017,2.065,2.017,178908.67,600028
58,2005-04-05,2.017,1.993,2.074,1.979,207302.55,600028
59,2005-04-06,1.993,2.041,2.07,1.989,313495.84,600028
60,2005-04-07,2.041,2.022,2.141,2.012,463208.62,600028
61,2005-04-08,2.022,2.084,2.093,2.003,273143.29,600028
62,2005-04-11,2.07,2.065,2.079,2.036,155419.89,600028
63,2005-04-12,2.055,2.027,2.055,2.017,103617.95,600028
64,2005-04-13,2.036,2.074,2.098,2.036,363166.6,600028
65,2005-04-14,2.074,2.084,2.093,2.055,226169.26,600028
66,2005-04-15,2.074,2.07,2.074,2.05,64127.79,600028
67,2005-04-18,2.05,2.017,2.07,1.993,103662.23,600028
68,2005-04-19,2.017,2.003,2.022,1.984,141617.12,600028
69,2005-04-20,2.003,2.008,2.017,1.979,103287.35,600028
70,2005-04-21,2.008,1.984,2.041,1.979,129444.13,600028
71,2005-04-22,1.989,1.989,2.012,1.974,155147.43,600028
72,2005-04-25,1.993,2.008,2.017,1.979,216912.32,600028
73,2005-04-26,2.008,1.974,2.017,1.96,140507.74,600028
74,2005-04-27,1.974,1.946,1.989,1.941,128481.97,600028
75,2005-04-28,1.951,1.984,1.984,1.946,157179.64,600028
76,2005-04-29,1.984,1.974,1.998,1.97,42260.26,600028
77,2005-05-09,1.974,1.941,1.993,1.932,126612.84,600028
78,2005-05-10,1.941,1.989,1.989,1.932,136011.06,600028
79,2005-05-11,1.989,1.97,2.003,1.955,67050.78,600028
80,2005-05-12,1.965,1.903,1.998,1.893,291169.93,600028
81,2005-05-13,1.903,1.898,1.936,1.855,206028.52,600028
82,2005-05-16,1.893,1.903,1.908,1.789,228875.07,600028
83,2005-05-17,1.87,1.851,1.889,1.822,165242.9,600028
84,2005-05-19,1.832,1.836,1.855,1.722,675164.96,600028
85,2005-05-20,1.803,1.808,1.817,1.779,121919.6,600028
86,2005-05-23,1.808,1.741,1.808,1.732,209455.27,600028
87,2005-05-24,1.708,1.694,1.713,1.656,521756.34,600028
88,2005-05-25,1.684,1.67,1.694,1.66,265668.07,600028
89,2005-05-26,1.67,1.651,1.684,1.651,171096.0,600028
90,2005-05-27,1.646,1.656,1.67,1.637,171748.39,600028
91,2005-05-30,1.651,1.67,1.698,1.641,187983.64,600028
92,2005-05-31,1.675,1.689,1.722,1.675,284606.88,600028
93,2005-06-01,1.689,1.646,1.713,1.632,193278.11,600028
94,2005-06-02,1.641,1.603,1.651,1.57,371014.48,600028
95,2005-06-03,1.603,1.58,1.603,1.537,282210.75,600028
96,2005-06-06,1.584,1.623,1.633,1.56,344855.9,600028
97,2005-06-07,1.623,1.584,1.667,1.58,418030.64,600028
98,2005-06-08,1.633,1.745,1.745,1.609,975485.79,600028
99,2005-06-09,1.779,1.853,1.892,1.721,1552671.08,600028
100,2005-06-10,1.843,1.784,1.848,1.775,820345.28,600028
101,2005-06-13,1.784,1.814,1.843,1.75,507230.58,600028
102,2005-06-14,1.814,1.799,1.833,1.779,429623.16,600028
103,2005-06-15,1.794,1.765,1.799,1.74,285060.34,600028
104,2005-06-16,1.76,1.779,1.779,1.74,412695.99,600028
105,2005-06-17,1.784,1.76,1.794,1.74,376534.63,600028
106,2005-06-20,1.784,1.799,1.814,1.711,661811.21,600028
107,2005-06-21,1.799,1.745,1.799,1.726,549725.43,600028
108,2005-06-22,1.74,1.721,1.745,1.697,483781.55,600028
109,2005-06-23,1.706,1.711,1.74,1.692,411787.37,600028
110,2005-06-24,1.716,1.755,1.755,1.697,522484.38,600028
111,2005-06-27,1.775,1.789,1.823,1.77,773918.92,600028
112,2005-06-28,1.784,1.755,1.784,1.736,488940.15,600028
113,2005-06-29,1.755,1.755,1.775,1.745,276090.6,600028
114,2005-06-30,1.755,1.721,1.755,1.706,255437.74,600028
115,2005-07-01,1.706,1.697,1.721,1.692,201370.17,600028
116,2005-07-04,1.682,1.682,1.687,1.643,362978.67,600028
117,2005-07-05,1.677,1.662,1.692,1.648,187769.7,600028
118,2005-07-06,1.677,1.682,1.706,1.667,244532.86,600028
119,2005-07-07,1.692,1.731,1.755,1.687,349092.18,600028
120,2005-07-08,1.731,1.716,1.731,1.687,252377.71,600028
121,2005-07-11,1.74,1.721,1.779,1.706,216228.99,600028
122,2005-07-12,1.706,1.784,1.799,1.697,477577.21,600028
123,2005-07-13,1.779,1.76,1.794,1.745,230678.83,600028
124,2005-07-14,1.76,1.794,1.809,1.755,416510.97,600028
125,2005-07-15,1.794,1.804,1.843,1.784,459058.66,600028
126,2005-07-18,1.799,1.789,1.814,1.775,155385.93,600028
127,2005-07-19,1.794,1.775,1.809,1.736,267137.91,600028
128,2005-07-20,1.77,1.779,1.794,1.75,204876.31,600028
129,2005-07-21,1.775,1.765,1.775,1.745,221616.02,600028
130,2005-07-22,1.784,1.867,1.892,1.775,1344082.22,600028
131,2005-07-25,1.867,1.877,1.896,1.853,444044.59,600028
132,2005-07-26,1.901,1.974,2.004,1.892,1349114.06,600028
133,2005-07-27,1.97,1.994,2.009,1.96,514437.8,600028
134,2005-07-28,1.994,1.994,2.023,1.974,493852.74,600028
135,2005-07-29,1.989,1.989,2.009,1.974,283082.78,600028
136,2005-08-01,1.989,2.009,2.023,1.979,253400.91,600028
137,2005-08-02,2.009,2.038,2.048,1.989,305330.69,600028
138,2005-08-03,2.048,2.018,2.067,2.013,445389.49,600028
139,2005-08-04,2.009,2.013,2.038,1.999,244255.32,600028
140,2005-08-05,2.013,2.067,2.082,2.004,298645.75,600028
141,2005-08-08,2.067,2.116,2.164,2.067,466377.95,600028
142,2005-08-09,2.126,2.194,2.194,2.096,573680.92,600028
143,2005-08-10,2.199,2.199,2.213,2.16,455547.99,600028
144,2005-08-11,2.199,2.247,2.272,2.194,488547.89,600028
145,2005-08-12,2.252,2.189,2.252,2.164,834448.9,600028
146,2005-08-15,2.184,2.203,2.233,2.179,540626.11,600028
147,2005-08-16,2.203,2.15,2.208,2.14,393936.72,600028
148,2005-08-17,2.145,2.213,2.223,2.135,482891.95,600028
149,2005-08-18,2.223,2.126,2.238,2.121,938320.67,600028
150,2005-08-19,2.126,2.135,2.16,2.096,587469.02,600028
151,2005-08-22,2.13,2.14,2.16,2.111,369646.43,600028
152,2005-08-23,2.145,2.169,2.189,2.13,418680.68,600028
153,2005-08-24,2.184,2.242,2.281,2.169,817831.73,600028
154,2005-08-25,2.242,2.247,2.257,2.208,323890.49,600028
155,2005-08-26,2.242,2.252,2.277,2.223,422001.7,600028
156,2005-08-29,2.223,2.174,2.247,2.087,592560.44,600028
157,2005-08-30,2.155,2.14,2.155,2.116,306026.9,600028
158,2005-08-31,2.14,2.15,2.174,2.116,324716.69,600028
159,2005-09-01,2.15,2.169,2.179,2.135,364132.54,600028
160,2005-09-02,2.174,2.16,2.179,2.13,291766.03,600028
161,2005-09-05,2.145,2.126,2.15,2.096,374896.57,600028
162,2005-09-06,2.126,2.087,2.145,2.072,409451.95,600028
163,2005-09-07,2.077,2.096,2.106,2.043,449744.31,600028
164,2005-09-08,2.096,2.077,2.111,2.067,348922.5,600028
165,2005-09-09,2.082,2.111,2.14,2.077,461577.26,600028
166,2005-09-12,2.106,2.072,2.116,2.052,329633.67,600028
167,2005-09-13,2.072,2.101,2.101,2.062,279571.94,600028
168,2005-09-14,2.106,2.121,2.126,2.087,347124.34,600028
169,2005-09-15,2.121,2.101,2.13,2.082,253495.08,600028
170,2005-09-16,2.101,2.072,2.101,2.062,313062.93,600028
171,2005-09-20,2.082,2.062,2.101,2.057,318872.65,600028
172,2005-09-21,2.067,2.008,2.067,2.003,333013.09,600028
173,2005-09-22,2.008,1.988,2.008,1.954,355991.04,600028
174,2005-09-23,1.983,2.013,2.038,1.974,303369.97,600028
175,2005-09-26,2.013,2.013,2.033,1.998,156132.76,600028
176,2005-09-27,2.008,1.939,2.008,1.939,321945.57,600028
177,2005-09-28,1.929,1.944,1.974,1.929,204359.59,600028
178,2005-09-29,1.969,2.033,2.033,1.959,451665.32,600028
179,2005-09-30,2.038,2.033,2.052,2.018,171866.06,600028
180,2005-10-10,2.008,1.979,2.018,1.964,198703.68,600028
181,2005-10-11,1.974,2.013,2.013,1.969,147011.64,600028
182,2005-10-12,2.013,2.003,2.023,1.979,271255.54,600028
183,2005-10-13,2.003,1.969,2.003,1.969,217706.52,600028
184,2005-10-14,1.974,1.954,1.983,1.929,246006.64,600028
185,2005-10-17,1.959,1.9,1.959,1.87,336648.26,600028
186,2005-10-18,1.9,1.91,1.919,1.895,127149.69,600028
187,2005-10-19,1.91,1.9,1.944,1.88,150184.83,600028
188,2005-10-20,1.9,1.924,1.924,1.865,210966.06,600028
189,2005-10-21,1.919,1.939,1.954,1.9,264103.1,600028
190,2005-10-24,1.939,1.919,1.939,1.905,84295.57,600028
191,2005-10-25,1.915,1.88,1.915,1.865,243789.04,600028
192,2005-10-26,1.875,1.86,1.885,1.851,147181.75,600028
193,2005-10-27,1.856,1.905,1.91,1.836,304152.08,600028
194,2005-10-28,1.905,1.87,1.905,1.821,345923.12,600028
195,2005-10-31,1.865,1.929,1.949,1.865,447647.94,600028
196,2005-11-01,1.924,1.964,1.979,1.915,393758.92,600028
197,2005-11-02,1.959,1.979,2.013,1.954,357508.97,600028
198,2005-11-03,1.979,1.993,2.033,1.959,431328.61,600028
199,2005-11-04,1.988,1.988,2.018,1.974,229022.9,600028
200,2005-11-07,1.988,1.983,1.998,1.954,131012.5,600028
201,2005-11-08,1.979,2.018,2.028,1.959,331287.2,600028
202,2005-11-09,2.023,2.033,2.077,2.023,429707.99,600028
203,2005-11-10,2.028,2.038,2.067,2.008,284680.11,600028
204,2005-11-11,2.028,2.023,2.047,1.988,261842.16,600028
205,2005-11-14,2.008,2.003,2.028,1.983,215552.85,600028
206,2005-11-15,2.003,2.057,2.072,2.003,443256.5,600028
207,2005-11-16,2.067,2.087,2.092,2.057,311900.03,600028
208,2005-11-17,2.077,2.082,2.097,2.057,199285.37,600028
209,2005-11-18,2.092,2.092,2.126,2.067,385343.17,600028
210,2005-11-21,2.092,2.092,2.111,2.072,129006.63,600028
211,2005-11-22,2.087,2.038,2.092,2.033,247052.37,600028
212,2005-11-23,2.033,2.033,2.062,2.023,133055.01,600028
213,2005-11-24,2.033,2.057,2.072,2.023,158948.14,600028
214,2005-11-25,2.057,2.052,2.067,2.033,85720.14,600028
215,2005-11-28,2.043,2.057,2.077,2.043,97577.41,600028
216,2005-11-29,2.057,2.028,2.072,2.008,235687.24,600028
217,2005-11-30,2.018,2.023,2.038,2.003,146137.8,600028
218,2005-12-01,2.018,2.038,2.052,2.018,89164.7,600028
219,2005-12-02,2.062,2.047,2.072,2.043,125852.46,600028
220,2005-12-05,2.047,2.047,2.072,2.038,78850.5,600028
221,2005-12-06,2.047,2.087,2.092,2.043,207604.38,600028
222,2005-12-07,2.087,2.131,2.141,2.082,335349.65,600028
223,2005-12-08,2.141,2.121,2.175,2.107,261089.08,600028
224,2005-12-09,2.116,2.146,2.156,2.107,145206.01,600028
225,2005-12-12,2.175,2.161,2.175,2.131,156759.04,600028
226,2005-12-13,2.156,2.185,2.215,2.141,272246.56,600028
227,2005-12-14,2.185,2.175,2.19,2.146,147038.67,600028
228,2005-12-15,2.175,2.185,2.225,2.156,239903.05,600028
229,2005-12-16,2.18,2.161,2.185,2.156,83576.19,600028
230,2005-12-19,2.166,2.21,2.23,2.151,374187.1,600028
231,2005-12-20,2.21,2.22,2.225,2.195,162570.53,600028
232,2005-12-21,2.215,2.21,2.259,2.2,298890.03,600028
233,2005-12-22,2.205,2.19,2.215,2.161,160642.19,600028
234,2005-12-23,2.195,2.195,2.205,2.175,197141.55,600028
235,2005-12-26,2.195,2.259,2.274,2.185,646232.5,600028
236,2005-12-27,2.264,2.254,2.274,2.244,248197.38,600028
237,2005-12-28,2.264,2.264,2.294,2.234,444311.9,600028
238,2005-12-29,2.264,2.274,2.279,2.254,240591.38,600028
239,2005-12-30,2.284,2.294,2.338,2.279,721552.99,600028
240,2006-01-04,2.294,2.338,2.358,2.259,348050.79,600028
241,2006-01-05,2.338,2.338,2.348,2.313,313352.7,600028
242,2006-01-06,2.338,2.328,2.338,2.298,418253.46,600028
243,2006-01-09,2.323,2.308,2.323,2.294,555351.07,600028
244,2006-01-10,2.308,2.328,2.343,2.294,417997.85,600028
245,2006-01-11,2.323,2.254,2.323,2.239,602067.1,600028
246,2006-01-12,2.244,2.303,2.313,2.23,640735.17,600028
247,2006-01-13,2.313,2.269,2.318,2.244,348472.37,600028
248,2006-01-16,2.279,2.264,2.313,2.259,575436.16,600028
249,2006-01-17,2.254,2.323,2.323,2.249,420690.18,600028
250,2006-01-18,2.313,2.377,2.392,2.298,455356.65,600028
251,2006-01-19,2.377,2.5,2.505,2.377,635486.08,600028
252,2006-01-20,2.49,2.5,2.549,2.476,516207.06,600028
253,2006-01-23,2.5,2.461,2.515,2.426,465726.05,600028
254,2006-01-24,2.456,2.431,2.471,2.397,340920.05,600028
255,2006-01-25,2.431,2.451,2.461,2.421,242148.38,600028
256,2006-02-06,2.466,2.554,2.554,2.466,543753.82,600028
257,2006-02-07,2.554,2.51,2.628,2.485,577057.02,600028
258,2006-02-08,2.525,2.549,2.618,2.515,1116239.51,600028
259,2006-02-09,2.545,2.49,2.549,2.481,420621.31,600028
260,2006-02-10,2.5,2.515,2.545,2.451,443797.95,600028
261,2006-02-13,2.505,2.485,2.515,2.451,457617.5,600028
262,2006-02-14,2.485,2.5,2.5,2.456,228458.98,600028
263,2006-02-15,2.505,2.653,2.658,2.5,1242065.11,600028
264,2006-02-16,2.628,2.564,2.628,2.545,732023.96,600028
265,2006-02-17,2.559,2.559,2.599,2.545,419585.85,600028
266,2006-02-20,2.574,2.589,2.643,2.545,362638.89,600028
267,2006-02-21,2.584,2.628,2.638,2.545,436278.57,600028
268,2006-02-22,2.628,2.584,2.658,2.574,459980.21,600028
269,2006-02-23,2.584,2.589,2.618,2.564,251815.86,600028
270,2006-02-24,2.589,2.579,2.604,2.549,415871.36,600028
271,2006-02-27,2.574,2.633,2.663,2.559,704630.63,600028
272,2006-02-28,2.613,2.604,2.613,2.564,447184.11,600028
273,2006-03-01,2.599,2.609,2.638,2.584,284725.25,600028
274,2006-03-02,2.609,2.554,2.623,2.54,399309.36,600028
275,2006-03-03,2.554,2.604,2.633,2.535,489349.99,600028
276,2006-03-06,2.594,2.574,2.633,2.559,291943.68,600028
277,2006-03-07,2.574,2.485,2.574,2.461,675383.44,600028
278,2006-03-08,2.471,2.417,2.471,2.377,543252.86,600028
279,2006-03-09,2.412,2.412,2.451,2.392,195694.66,600028
280,2006-03-10,2.412,2.358,2.446,2.338,366598.17,600028
281,2006-03-13,2.358,2.441,2.441,2.358,371668.9,600028
282,2006-03-14,2.446,2.431,2.476,2.402,328769.67,600028
283,2006-03-15,2.436,2.52,2.53,2.436,553249.18,600028
284,2006-03-16,2.52,2.52,2.559,2.505,393560.84,600028
285,2006-03-17,2.52,2.505,2.559,2.5,452547.22,600028
286,2006-03-20,2.505,2.574,2.579,2.495,321992.1,600028
287,2006-03-21,2.569,2.579,2.604,2.549,281725.64,600028
288,2006-03-22,2.569,2.579,2.584,2.51,384769.23,600028
289,2006-03-23,2.569,2.613,2.613,2.53,444538.03,600028
290,2006-03-24,2.604,2.609,2.687,2.589,805045.18,600028
291,2006-03-27,2.633,2.554,2.638,2.51,898806.45,600028
292,2006-03-28,2.549,2.52,2.584,2.505,722337.33,600028
293,2006-03-29,2.52,2.535,2.564,2.481,998498.22,600028
294,2006-03-30,2.53,2.51,2.54,2.495,522202.09,600028
295,2006-03-31,2.485,2.485,2.505,2.451,625407.19,600028
296,2006-04-03,2.559,2.54,2.559,2.505,594630.69,600028
297,2006-04-04,2.52,2.51,2.535,2.476,724573.53,600028
298,2006-04-05,2.51,2.545,2.559,2.481,873421.42,600028
299,2006-04-06,2.545,2.545,2.589,2.535,603056.15,600028
300,2006-04-07,2.549,2.525,2.589,2.52,544412.31,600028
301,2006-04-10,2.525,2.515,2.525,2.471,589959.01,600028
302,2006-04-11,2.515,2.515,2.535,2.49,751109.53,600028
303,2006-04-12,2.51,2.535,2.549,2.5,496034.79,600028
304,2006-04-13,2.535,2.505,2.535,2.49,467580.89,600028
